step mean margin_of_error
0 0.508 0.005
1000 0.603 0.003
10000 0.622 0.004
20000 0.626 0.004
30000 0.628 0.005
40000 0.629 0.005
50000 0.631 0.005
60000 0.631 0.005
70000 0.632 0.005
80000 0.632 0.005
90000 0.632 0.005
100000 0.632 0.005
110000 0.633 0.005
120000 0.632 0.005
130000 0.629 0.005
150000 0.637 0.004
160000 0.639 0.004
170000 0.64 0.004
180000 0.641 0.004
190000 0.642 0.004
200000 0.643 0.004
300000 0.653 0.004
400000 0.661 0.004
500000 0.665 0.004
600000 0.674 0.003
700000 0.681 0.004
800000 0.686 0.003
900000 0.69 0.002
