step mean margin_of_error
0 0.501 0.001
1000 0.505 0.001
10000 0.523 0.002
20000 0.528 0.003
30000 0.53 0.003
40000 0.533 0.003
50000 0.535 0.003
60000 0.536 0.003
70000 0.536 0.003
80000 0.537 0.003
90000 0.538 0.003
100000 0.539 0.003
110000 0.54 0.003
120000 0.539 0.004
130000 0.546 0.003
150000 0.554 0.003
160000 0.557 0.003
170000 0.559 0.003
180000 0.561 0.003
190000 0.562 0.003
200000 0.563 0.003
300000 0.58 0.004
400000 0.593 0.004
500000 0.601 0.003
600000 0.611 0.002
700000 0.621 0.002
800000 0.629 0.002
900000 0.636 0.002
