step mean margin_of_error
0 0.523 0.003
1000 0.575 0.012
10000 0.608 0.004
20000 0.606 0.005
30000 0.605 0.004
40000 0.602 0.005
50000 0.602 0.004
60000 0.6 0.005
70000 0.6 0.005
80000 0.598 0.005
90000 0.598 0.005
100000 0.598 0.005
110000 0.597 0.004
120000 0.597 0.004
130000 0.597 0.005
150000 0.604 0.004
160000 0.606 0.004
170000 0.608 0.004
180000 0.609 0.003
190000 0.61 0.003
200000 0.611 0.003
300000 0.622 0.004
400000 0.632 0.004
500000 0.641 0.003
600000 0.652 0.003
700000 0.66 0.003
800000 0.663 0.003
900000 0.664 0.004
