step mean margin_of_error
0 0.502 0.001
1000 0.505 0.006
10000 0.526 0.023
20000 0.531 0.029
30000 0.535 0.032
40000 0.538 0.034
50000 0.539 0.034
60000 0.541 0.035
70000 0.542 0.031
80000 0.542 0.03
90000 0.54 0.035
100000 0.542 0.032
110000 0.543 0.029
120000 0.544 0.028
130000 0.548 0.026
150000 0.559 0.026
160000 0.562 0.025
170000 0.564 0.025
180000 0.566 0.022
190000 0.566 0.022
200000 0.567 0.022
300000 0.581 0.015
400000 0.594 0.014
500000 0.603 0.016
600000 0.614 0.01
700000 0.62 0.017
800000 0.628 0.025
900000 0.636 0.028
