step mean margin_of_error
0 0.502 0.019
1000 0.506 0.0
10000 0.523 0.0
20000 0.527 0.017
30000 0.53 0.032
40000 0.534 0.049
50000 0.533 0.022
60000 0.537 0.036
70000 0.538 0.021
80000 0.537 0.007
90000 0.538 0.007
100000 0.539 0.001
110000 0.539 0.006
120000 0.539 0.014
130000 0.546 0.021
150000 0.553 0.016
160000 0.555 0.014
170000 0.556 0.019
180000 0.556 0.011
190000 0.558 0.002
200000 0.558 0.004
300000 0.579 0.038
400000 0.592 0.048
500000 0.603 0.043
600000 0.615 0.018
700000 0.63 0.014
800000 0.638 0.022
900000 0.643 0.014
