step mean margin_of_error
0 0.519 0.006
1000 0.575 0.017
10000 0.614 0.013
20000 0.625 0.008
30000 0.632 0.006
40000 0.637 0.005
50000 0.642 0.003
60000 0.646 0.003
70000 0.648 0.003
80000 0.653 0.003
90000 0.652 0.005
100000 0.654 0.004
110000 0.654 0.005
120000 0.655 0.004
130000 0.658 0.005
150000 0.66 0.004
160000 0.662 0.004
170000 0.661 0.004
180000 0.662 0.004
190000 0.663 0.005
200000 0.664 0.004
300000 0.669 0.003
400000 0.673 0.004
500000 0.675 0.005
600000 0.676 0.005
700000 0.677 0.005
800000 0.678 0.004
900000 0.679 0.005
