step mean margin_of_error
0 0.501 0.001
1000 0.505 0.002
10000 0.519 0.003
20000 0.524 0.002
30000 0.529 0.002
40000 0.529 0.003
50000 0.531 0.003
60000 0.534 0.002
70000 0.534 0.002
80000 0.535 0.003
90000 0.535 0.004
100000 0.535 0.004
110000 0.535 0.003
120000 0.536 0.003
130000 0.544 0.002
150000 0.552 0.002
160000 0.554 0.002
170000 0.555 0.002
180000 0.556 0.002
190000 0.556 0.002
200000 0.557 0.002
300000 0.578 0.002
400000 0.591 0.003
500000 0.602 0.003
600000 0.615 0.004
700000 0.63 0.004
800000 0.637 0.004
900000 0.643 0.004
