step mean margin_of_error
0 0.501 0.001
1000 0.505 0.003
10000 0.526 0.004
20000 0.532 0.005
30000 0.534 0.005
40000 0.535 0.005
50000 0.537 0.005
60000 0.539 0.004
70000 0.54 0.004
80000 0.54 0.004
90000 0.541 0.003
100000 0.541 0.003
110000 0.541 0.003
120000 0.54 0.005
130000 0.546 0.004
150000 0.553 0.004
160000 0.555 0.004
170000 0.557 0.004
180000 0.558 0.004
190000 0.559 0.004
200000 0.56 0.004
300000 0.577 0.004
400000 0.59 0.005
500000 0.598 0.005
600000 0.606 0.007
700000 0.615 0.006
800000 0.625 0.006
900000 0.632 0.006
