step mean margin_of_error
0 0.517 0.006
1000 0.576 0.013
10000 0.614 0.004
20000 0.613 0.006
30000 0.612 0.007
40000 0.612 0.008
50000 0.611 0.008
60000 0.61 0.007
70000 0.61 0.006
80000 0.61 0.007
90000 0.61 0.006
100000 0.61 0.007
110000 0.609 0.006
120000 0.608 0.005
130000 0.608 0.005
150000 0.613 0.005
160000 0.615 0.005
170000 0.616 0.004
180000 0.617 0.004
190000 0.618 0.002
200000 0.618 0.002
300000 0.626 0.002
400000 0.634 0.005
500000 0.639 0.005
600000 0.647 0.005
700000 0.652 0.003
800000 0.657 0.005
900000 0.661 0.005
